Title,Price,Final Price,Link
Triangle Strategy - Deluxe Edition,44.99,53.99,https://www.instant-gaming.com/fr/12923-acheter-triangle-strategy-deluxe-edition-deluxe-edition-pc-jeu-steam-europe/
Eville,7.75,9.3,https://www.instant-gaming.com/fr/12914-acheter-eville-pc-jeu-steam/
Superfuse Supporter Edition,27.16,32.59,https://www.instant-gaming.com/fr/13583-acheter-superfuse-supporter-edition-supporter-edition-pc-jeu-steam/
Redfall Bite Back Edition,73.49,88.19,https://www.instant-gaming.com/fr/13481-acheter-redfall-bite-back-edition-bite-back-edition-pc-jeu-steam/
Street Fighter 6 Ultimate Edition,73.79,88.55,https://www.instant-gaming.com/fr/13391-acheter-street-fighter-6-ultimate-edition-ultimate-edition-pc-jeu-steam/
New Tales from The Borderlands Deluxe Edition,29.49,35.39,https://www.instant-gaming.com/fr/12800-acheter-new-tales-from-the-borderlands-deluxe-edition-deluxe-edition-pc-jeu-steam-europe/
Floodland,21.99,26.39,https://www.instant-gaming.com/fr/13118-acheter-floodland-pc-jeu-steam/
Justice Sucks: Tactical Vacuum Action,6.49,7.79,https://www.instant-gaming.com/fr/12797-acheter-justice-sucks-tactical-vacuum-action-pc-jeu-steam/
The Bridge Curse Road to Salvation,7.99,9.59,https://www.instant-gaming.com/fr/12939-acheter-the-bridge-curse-road-to-salvation-pc-jeu-steam/
Gunlocked,2.99,3.59,https://www.instant-gaming.com/fr/12641-acheter-gunlocked-pc-jeu-steam/
